Year,Month Name,Date,Sales
2025,June,1,0
2025,June,2,0
2025,June,3,0
2025,June,4,0
2025,June,5,0
2025,June,6,0
2025,June,7,0
2025,June,8,0
2025,June,9,0
2025,June,10,120
2025,June,11,0
2025,June,12,0
2025,June,13,0
2025,June,14,450
2025,June,15,0
2025,June,16,100
2025,June,17,0
2025,June,18,0
2025,June,19,260
2025,June,20,150
2025,June,21,0
2025,June,22,0
2025,June,23,180
2025,June,24,0
2025,June,25,0
2025,June,26,0
2025,June,27,200
2025,June,28,200
2025,June,29,100
2025,June,30,800
2025,July,1,200
2025,July,2,0
2025,July,3,150
2025,July,4,350
2025,July,5,450
2025,July,6,100
2025,July,7,150
2025,July,8,320
2025,July,9,0
2025,July,10,0
2025,July,11,675
2025,July,12,0
2025,July,13,0
2025,July,14,500
2025,July,15,250
2025,July,16,0
2025,July,17,505
2025,July,18,180
2025,July,19,280
2025,July,20,0
2025,July,21,200
2025,July,22,200
2025,July,23,250
2025,July,24,30
2025,July,25,190
2025,July,26,250
2025,July,27,0
2025,July,28,0
2025,July,29,0
2025,July,30,430
2025,July,31,800
2025,August,1,230
2025,August,2,300
2025,August,3,0
2025,August,4,275
2025,August,5,150
2025,August,6,0
2025,August,7,100
2025,August,8,210
2025,August,9,240
2025,August,10,0
2025,August,11,0
2025,August,12,50
2025,August,13,0
2025,August,14,150
2025,August,15,0
2025,August,16,0
2025,August,17,200
2025,August,18,50
2025,August,19,0
2025,August,20,110
2025,August,21,230
2025,August,22,250
2025,August,23,200
2025,August,24,325
2025,August,25,0
2025,August,26,250
2025,August,27,300
2025,August,28,0
2025,August,29,285
2025,August,30,0
2025,August,31,800
2025,September,1,230
2025,September,2,185
2025,September,3,465
2025,September,4,150
2025,September,5,200
2025,September,6,0
2025,September,7,110
2025,September,8,460
2025,September,9,110
2025,September,10,310
2025,September,11,50
2025,September,12,580
2025,September,13,34
2025,September,14,749
2025,September,15,410
2025,September,16,0
2025,September,17,290
2025,September,18,450
2025,September,19,450
2025,September,20,250
2025,September,21,300
2025,September,22,20
2025,September,23,530
2025,September,24,300
2025,September,25,150
2025,September,26,150
2025,September,27,0
2025,September,28,255
2025,September,29,0
2025,September,30,800
2025,October,1,180
2025,October,2,140
2025,October,3,490
2025,October,4,165
2025,October,5,120
2025,October,6,400
2025,October,7,120
2025,October,8,200
2025,October,9,218
2025,October,10,0
2025,October,11,300
2025,October,12,240
2025,October,13,0
2025,October,14,230
2025,October,15,0
2025,October,16,100
2025,October,17,190
2025,October,18,180
2025,October,19,0
2025,October,20,250
2025,October,21,0
2025,October,22,0
2025,October,23,0
2025,October,24,300
2025,October,25,110
2025,October,26,0
2025,October,27,75
2025,October,28,0
2025,October,29,400
2025,October,30,0
2025,October,31,1115
2025,November,1,0
2025,November,2,255
2025,November,3,0
2025,November,4,0
2025,November,5,290
2025,November,6,70
2025,November,7,120
2025,November,8,400
2025,November,9,0
2025,November,10,135
2025,November,11,0
2025,November,12,0
2025,November,13,95
2025,November,14,520
2025,November,15,0
2025,November,16,190
2025,November,17,0
2025,November,18,0
2025,November,19,65
2025,November,20,0
2025,November,21,0
2025,November,22,140
2025,November,23,150
2025,November,24,165
2025,November,25,0
2025,November,26,100
2025,November,27,0
2025,November,28,0
2025,November,29,0
2025,November,30,800
2025,December,1,0
2025,December,2,0
2025,December,3,150
2025,December,4,0
2025,December,5,0
2025,December,6,360
2025,December,7,245
2025,December,8,130
2025,December,9,0
2025,December,10,80
2025,December,11,0
2025,December,12,70
2025,December,13,0
2025,December,14,220
2025,December,15,30
2025,December,16,515
2025,December,17,150
2025,December,18,15
2025,December,19,495
2025,December,20,0
2025,December,21,190
2025,December,22,80
2025,December,23,190
2025,December,24,15
2025,December,25,0
2025,December,26,40
2025,December,27,0
2025,December,28,190
2025,December,29,50
2025,December,30,230
2025,December,31,800
2026,January,1,0
2026,January,2,0
2026,January,3,400
2026,January,4,190
2026,January,5,50
2026,January,6,0
2026,January,7,205
2026,January,8,70
2026,January,9,520
2026,January,10,0
2026,January,11,90
2026,January,12,0
2026,January,13,120
2026,January,14,0
2026,January,15,0
2026,January,16,0
2026,January,17,0
2026,January,18,300
2026,January,19,195
2026,January,20,0
2026,January,21,920
2026,January,22,0
2026,January,23,30
2026,January,24,0
2026,January,25,270
2026,January,26,0
2026,January,27,0
2026,January,28,610
2026,January,29,0
2026,January,30,325
2026,January,31,1100
2026,February,1,300
2026,February,2,0
2026,February,3,0
2026,February,4,90
2026,February,5,350
2026,February,6,110
2026,February,7,300
2026,February,8,160
2026,February,9,0
2026,February,10,0
2026,February,11,210
2026,February,12,280
2026,February,13,190
2026,February,14,0
2026,February,15,325
2026,February,16,0
2026,February,17,120
2026,February,18,0
2026,February,19,420
2026,February,20,50
2026,February,21,300
2026,February,22,100
2026,February,23,0
2026,February,24,0
2026,February,25,140
2026,February,26,0
2026,February,27,150
2026,February,28,1100
